,audio_files,no_of_channels,frame_rate,sample_width,max_amplitude,no_of_ms,frame_width
0,file1.wav,2,44100,2,32768,19357,4
1,file139.wav,2,44100,2,32768,74971,4
2,file105.wav,2,44100,2,32768,666201,4
3,file111.wav,2,44100,2,32768,50547,4
4,file27.wav,2,44100,2,32768,122436,4
5,file33.wav,2,44100,2,32768,885368,4
6,file32.wav,2,44100,2,32768,449019,4
7,file26.wav,2,44100,2,32768,625136,4
8,file110.wav,2,44100,2,32768,598230,4
9,file104.wav,2,44100,2,32768,1370958,4
10,file138.wav,2,44100,2,32768,111464,4
11,file2.wav,2,44100,2,23542,2220,4
12,file112.wav,2,44100,2,32768,3217293,4
13,file106.wav,2,44100,2,32768,2168,4
14,file30.wav,2,44100,2,32768,94929,4
15,file24.wav,2,48000,2,25500,83088,4
16,file18.wav,2,44100,2,32768,60865,4
17,file19.wav,2,44100,2,32768,2612,4
18,file25.wav,2,44100,2,20199,1829,4
19,file31.wav,2,44100,2,32768,43442,4
20,file107.wav,2,44100,2,32768,170214,4
21,file113.wav,2,44100,2,32768,98952,4
22,file3.wav,2,44100,2,32768,50181,4
23,file7.wav,2,44100,2,19573,7523,4
24,file117.wav,2,44100,2,32768,270028,4
25,file103.wav,2,44100,2,32768,211461,4
26,file35.wav,2,44100,2,32768,84663,4
27,file21.wav,2,44100,2,32768,37982,4
28,file20.wav,2,44100,2,1610,287,4
29,file34.wav,2,44100,2,32767,25940,4
30,file102.wav,2,44100,2,30804,1698,4
31,file116.wav,2,44100,2,32768,1233737,4
32,file6.wav,2,44100,2,32768,987455,4
33,file4.wav,2,44100,2,32768,57469,4
34,file100.wav,2,44100,2,32768,680777,4
35,file114.wav,2,44100,2,32768,225515,4
36,file128.wav,2,44100,2,32768,380291,4
37,file22.wav,2,44100,2,32768,28421,4
38,file36.wav,2,44100,2,32768,27742,4
39,file37.wav,2,44100,2,32768,133512,4
40,file23.wav,2,48000,2,25709,71904,4
41,file129.wav,2,44100,2,32768,179513,4
42,file115.wav,2,44100,2,32768,217861,4
43,file101.wav,2,44100,2,32768,296229,4
44,file5.wav,2,44100,2,32768,28003,4
45,file44.wav,2,44100,2,32768,1865064,4
46,file50.wav,2,44100,2,32768,975595,4
47,file78.wav,2,44100,2,32768,838713,4
48,file87.wav,2,44100,2,32768,27063,4
49,file93.wav,2,44100,2,32768,506932,4
50,file92.wav,2,44100,2,32584,18469,4
51,file86.wav,2,44100,2,32767,71602,4
52,file79.wav,2,44100,2,32767,65672,4
53,file51.wav,2,44100,2,32768,416078,4
54,file45.wav,2,44100,2,32768,921574,4
55,file53.wav,2,44100,2,32768,3742198,4
56,file47.wav,2,44100,2,32768,2482,4
57,file90.wav,2,44100,2,32768,3420473,4
58,file84.wav,2,44100,2,32768,42240,4
59,file85.wav,2,44100,2,32768,90279,4
60,file91.wav,2,44100,2,32768,452519,4
61,file46.wav,2,44100,2,32741,5303,4
62,file52.wav,2,48000,2,27196,102208,4
63,file148.wav,2,44100,2,32767,29962,4
64,file56.wav,2,44100,2,32368,10684,4
65,file42.wav,2,44100,2,32768,58567,4
66,file95.wav,2,44100,2,32768,439380,4
67,file81.wav,2,44100,2,32768,24581,4
68,file80.wav,2,44100,2,32768,48353,4
69,file94.wav,2,44100,2,32768,298736,4
70,file43.wav,2,44100,2,32768,11102,4
71,file57.wav,2,44100,2,32768,13349,4
72,file149.wav,2,44100,2,32768,82965,4
73,file69.wav,2,44100,2,32768,93753,4
74,file41.wav,2,44100,2,32768,69616,4
75,file55.wav,2,44100,2,29136,10762,4
76,file82.wav,2,44100,2,32768,44826,4
77,file96.wav,2,44100,2,31832,6139,4
78,file97.wav,2,44100,2,32768,975882,4
79,file83.wav,2,44100,2,32768,450142,4
80,file54.wav,2,44100,2,32768,1960777,4
81,file40.wav,2,44100,2,32768,61179,4
82,file68.wav,2,48000,2,29243,126456,4
83,file147.wav,2,44100,2,32768,459363,4
84,file153.wav,2,44100,2,32768,79125,4
85,file65.wav,2,44100,2,32768,48379,4
86,file71.wav,2,44100,2,32768,22021,4
87,file59.wav,2,44100,2,32697,8960,4
88,file58.wav,2,44100,2,32768,180584,4
89,file70.wav,2,44100,2,17523,1411,4
90,file64.wav,2,44100,2,32768,80980,4
91,file152.wav,2,44100,2,32767,2194,4
92,file146.wav,2,44100,2,32768,3184614,4
93,file150.wav,2,44100,2,32768,140539,4
94,file144.wav,2,44100,2,28075,2377,4
95,file72.wav,2,44100,2,32768,40856,4
96,file66.wav,2,44100,2,32768,80379,4
97,file99.wav,2,44100,2,32768,967105,4
98,file98.wav,2,44100,2,32768,56842,4
99,file67.wav,2,44100,2,32768,1766557,4
100,file73.wav,2,44100,2,32768,888816,4
101,file145.wav,2,44100,2,28740,1829,4
102,file151.wav,2,44100,2,30878,5695,4
103,file141.wav,2,44100,2,32768,59193,4
104,file77.wav,2,44100,2,32768,848640,4
105,file63.wav,2,44100,2,32768,13767,4
106,file88.wav,2,44100,2,32768,276663,4
107,file89.wav,2,44100,2,22383,993,4
108,file62.wav,2,44100,2,32768,60029,4
109,file76.wav,2,44100,2,32128,35265,4
110,file140.wav,2,44100,2,25709,2247,4
111,file142.wav,2,48000,2,26618,179840,4
112,file48.wav,2,44100,2,27625,6687,4
113,file60.wav,2,44100,2,32768,961776,4
114,file74.wav,2,44100,2,32768,229016,4
115,file75.wav,2,44100,2,32768,1155370,4
116,file61.wav,2,44100,2,32768,511608,4
117,file49.wav,2,44100,2,32768,50965,4
118,file143.wav,2,44100,2,32768,979357,4
119,file8.wav,2,44100,2,32768,25234,4
120,file118.wav,2,44100,2,31750,7027,4
121,file124.wav,2,44100,2,32768,29806,4
122,file130.wav,2,44100,2,32768,199367,4
123,file12.wav,2,44100,2,32768,56764,4
124,file13.wav,2,44100,2,32475,8647,4
125,file131.wav,2,44100,2,32768,533969,4
126,file125.wav,2,44100,2,32768,1667082,4
127,file119.wav,2,44100,2,29140,888,4
128,file9.wav,2,44100,2,32728,1123,4
129,file133.wav,2,44100,2,27726,1933,4
130,file127.wav,2,44100,2,32768,119667,4
131,file11.wav,2,44100,2,32768,331076,4
132,file39.wav,2,44100,2,32768,83487,4
133,file38.wav,2,44100,2,32768,35892,4
134,file10.wav,2,44100,2,32768,962560,4
135,file126.wav,2,44100,2,32768,3320242,4
136,file132.wav,2,44100,2,32768,92447,4
137,file136.wav,2,44100,2,32768,52532,4
138,file122.wav,2,44100,2,32768,1000098,4
139,file28.wav,2,44100,2,32768,62485,4
140,file14.wav,2,44100,2,32768,19357,4
141,file15.wav,2,44100,2,32768,3680104,4
142,file29.wav,2,44100,2,32768,27847,4
143,file123.wav,2,44100,2,32768,43259,4
144,file137.wav,2,44100,2,32767,44591,4
145,file121.wav,2,44100,2,32768,1411187,4
146,file135.wav,2,44100,2,32768,1303589,4
147,file109.wav,2,44100,2,32768,62929,4
148,file17.wav,2,44100,2,32768,2147187,4
149,file16.wav,2,44100,2,32767,2873,4
150,file108.wav,2,44100,2,32768,2708506,4
151,file134.wav,2,44100,2,32768,113136,4
152,file120.wav,2,44100,2,32768,679628,4
